call_trace_v1,wp,O1,32,goal,Passed,1.17
call_trace_v1,wp,O1,32,nongoal,Passed,1.3
call_trace_v1,wp,O1,64,goal,Passed,1.52
call_trace_v1,wp,O1,64,nongoal,Passed,1.54
call_trace_v1,wp,O2,32,goal,Passed,2.08
call_trace_v1,wp,O2,32,nongoal,Passed,1.55
call_trace_v1,wp,O2,64,goal,Passed,1.55
call_trace_v1,wp,O2,64,nongoal,Passed,1.59
call_trace_v2,fs,O0,32,goal,Passed,1.43
call_trace_v2,fs,O0,32,nongoal,Failed,1.39
call_trace_v2,fs,O0,64,goal,Passed,1.52
call_trace_v2,fs,O0,64,nongoal,Failed,1.93
call_trace_v2,fs,O1,32,goal,Passed,1.13
call_trace_v2,fs,O1,32,nongoal,Failed,1.68
call_trace_v2,fs,O1,64,goal,Passed,1.39
call_trace_v2,fs,O1,64,nongoal,Failed,1.72
call_trace_v2,fs,O2,32,goal,Passed,1.15
call_trace_v2,fs,O2,32,nongoal,Failed,1.09
call_trace_v2,fs,O2,64,goal,Passed,1.35
call_trace_v2,fs,O2,64,nongoal,Passed,1.44
call_trace_v2,sp,O0,32,goal,Passed,1.85
call_trace_v2,sp,O0,32,nongoal,Passed,2.11
call_trace_v2,sp,O0,64,goal,Passed,2.16
call_trace_v2,sp,O0,64,nongoal,Passed,2.32
call_trace_v2,sp,O1,32,goal,Passed,1.56
call_trace_v2,sp,O1,32,nongoal,Passed,1.67
call_trace_v2,sp,O1,64,goal,Passed,1.91
call_trace_v2,sp,O1,64,nongoal,Passed,1.64
call_trace_v2,sp,O2,32,goal,Passed,1.57
call_trace_v2,sp,O2,32,nongoal,Passed,1.68
call_trace_v2,sp,O2,64,goal,Passed,1.81
call_trace_v2,sp,O2,64,nongoal,Passed,1.53
call_trace_v2,wp,O0,32,goal,Passed,1.44
call_trace_v2,wp,O0,32,nongoal,Passed,1.55
call_trace_v2,wp,O0,64,goal,Passed,1.96
call_trace_v2,wp,O0,64,nongoal,Passed,1.64
call_trace_v2,wp,O1,32,goal,Passed,1.7
call_trace_v2,wp,O1,32,nongoal,Passed,1.17
call_trace_v2,wp,O1,64,goal,Passed,1.63
call_trace_v2,wp,O1,64,nongoal,Passed,1.67
call_trace_v2,wp,O2,32,goal,Passed,1.17
call_trace_v2,wp,O2,32,nongoal,Passed,1.49
call_trace_v2,wp,O2,64,goal,Passed,1.49
call_trace_v2,wp,O2,64,nongoal,Passed,1.79
call_trace_v3,fs,O0,32,goal,Passed,1.76
call_trace_v3,fs,O0,32,nongoal,Failed,1.52
